X.OTU.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
denovo237,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Cortinariaceae, g__Cortinarius, s__Cortinarius alpinus
denovo238,k__Fungi,,,,,,
denovo239,k__Fungi,,,,,,
denovo240,k__Fungi,,,,,,
denovo241,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Incertae sedis, g__Cryptococcus, s__Cryptococcus podzolicus
denovo242,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Strophariaceae,,
denovo243,k__Fungi,,,,,,
denovo244,k__Fungi,,,,,,
denovo245,k__Fungi,,,,,,
denovo246,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo247,k__Fungi,,,,,,
denovo248,k__Fungi,,,,,,
denovo249,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Cystofilobasidiales, f__Incertae sedis, g__Syzygospora, s__Syzygospora sp
denovo250,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Hydnangiaceae,,
denovo251,k__Fungi,,,,,,
denovo252,k__Fungi,,,,,,
denovo253,k__Fungi,,,,,,
denovo254,k__Fungi,,,,,,
denovo255,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo256,k__Fungi,,,,,,
denovo257,k__Fungi,,,,,,
denovo258,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Incertae sedis, g__Cryptococcus, s__Cryptococcus podzolicus
denovo259,k__Fungi,,,,,,
denovo260,k__Fungi,,,,,,
denovo261,k__Fungi, p__Ascomycota,,,,,
denovo262,k__Fungi,,,,,,
denovo263,k__Fungi,,,,,,
denovo264,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae,,
denovo265,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo266,k__Fungi,,,,,,
denovo267,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Agaricaceae, g__Lycoperdon, s__Lycoperdon sp
denovo268,k__Fungi,,,,,,
denovo269,k__Fungi, p__Ascomycota,,,,,
denovo270,k__Fungi,,,,,,
denovo271,k__Fungi, p__Ascomycota,,,,,
denovo272,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Thelephorales, f__Thelephoraceae, g__Odontia, s__Odontia fibrosa
denovo273,k__Fungi,,,,,,
denovo274,k__Fungi,,,,,,
denovo275,k__Fungi,,,,,,
denovo276,k__Fungi,,,,,,
denovo277,k__Fungi,,,,,,
denovo278,k__Fungi,,,,,,
denovo279,k__Fungi,,,,,,
denovo280,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales,,,
denovo281,k__Fungi,,,,,,
denovo282,k__Fungi,,,,,,
denovo283,k__Fungi,,,,,,
denovo284,k__Fungi,,,,,,
denovo285,k__Fungi,,,,,,
denovo286,k__Fungi,,,,,,
denovo287,k__Fungi,,,,,,
denovo288,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo289,k__Fungi,,,,,,
denovo290,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales,,,
denovo291,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales, f__Hyaloscyphaceae, g__Hyaloscypha, s__Hyaloscypha aureliella
denovo292,k__Fungi,,,,,,
denovo293,k__Fungi,,,,,,
denovo294,k__Fungi,,,,,,
denovo295,k__Fungi,,,,,,
denovo296,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Geoglossales, f__Geoglossaceae, g__Sarcoleotia, s__Sarcoleotia turficola
denovo297,k__Fungi,,,,,,
denovo298,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Dothideales, f__Dothioraceae, g__Kabatiella, s__Kabatiella sp
denovo299,k__Fungi,,,,,,
denovo300,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Strophariaceae, g__Pholiota, s__Pholiota squarrosa
denovo301,k__Fungi,,,,,,
denovo302,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Gomphales, f__Gomphaceae, g__Ramaria, s__Ramaria abietina
denovo303,k__Fungi,,,,,,
denovo304,k__Fungi,,,,,,
denovo305,k__Fungi, p__Ascomycota, c__Archaeorhizomycetes, o__unidentified, f__unidentified, g__unidentified, s__Archaeorhizomycetes sp
denovo306,k__Fungi,,,,,,
denovo307,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo308,k__Fungi, p__Basidiomycota, c__Microbotryomycetes, o__Sporidiobolales, f__Incertae sedis, g__Rhodotorula, s__Rhodotorula sp
denovo309,k__Fungi,,,,,,
denovo310,k__Fungi,,,,,,
denovo311,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Hydnangiaceae, g__Laccaria,
denovo312,k__Fungi,,,,,,
denovo313,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo314,k__Fungi, p__Basidiomycota, c__Agaricomycetes,,,,
denovo315,k__Fungi,,,,,,
denovo316,k__Fungi,,,,,,
denovo317,k__Fungi,,,,,,
denovo318,k__Fungi,,,,,,
denovo319,k__Fungi,,,,,,
denovo320,k__Fungi,,,,,,
denovo321,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Bionectriaceae, g__Clonostachys, s__Clonostachys rosea f. catenulata
denovo322,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Dothideales, f__Dothioraceae, g__Kabatiella, s__Kabatiella sp
denovo323,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo324,k__Fungi,,,,,,
denovo325,k__Fungi, p__Ascomycota,,,,,
denovo326,k__Fungi, p__Ascomycota,,,,,
denovo327,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Incertae sedis, g__Cryptococcus, s__Cryptococcus sp CBS 8363
denovo328,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Incertae sedis,,
denovo329,k__Fungi,,,,,,
denovo330,k__Fungi,,,,,,
denovo331,k__Fungi,,,,,,
denovo332,k__Fungi,,,,,,
denovo333,k__Fungi,,,,,,
denovo334,k__Fungi,,,,,,
denovo335,k__Fungi,,,,,,
denovo336,k__Fungi,,,,,,
denovo337,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Cortinariaceae, g__Cortinarius, s__Cortinarius alpinus
denovo338,k__Fungi,,,,,,
denovo339,k__Fungi,,,,,,
denovo340,k__Fungi,,,,,,
denovo341,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius,
denovo342,k__Fungi,,,,,,
denovo343,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales,,,
denovo344,k__Fungi,,,,,,
denovo345,k__Fungi,,,,,,
denovo346,k__Fungi,,,,,,
denovo347,k__Fungi,,,,,,
denovo348,k__Fungi,,,,,,
denovo349,k__Fungi,,,,,,
denovo350,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Niaceae, g__Flagelloscypha, s__Flagelloscypha minutissima
denovo351,k__Fungi,,,,,,
denovo352,k__Fungi,,,,,,
denovo353,k__Fungi,,,,,,
denovo354,k__Fungi, p__Ascomycota, c__Saccharomycetes, o__Saccharomycetales, f__Lipomycetaceae, g__Lipomyces, s__Lipomyces sp
denovo355,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Incertae sedis, f__Plectosphaerellaceae, g__Lectera, s__Lectera longa
denovo356,k__Fungi,,,,,,
denovo357,k__Fungi,,,,,,
denovo358,k__Fungi,,,,,,
denovo359,k__Fungi,,,,,,
denovo360,k__Fungi, p__Ascomycota,,,,,
denovo361,k__Fungi, p__Ascomycota,,,,,
denovo362,k__Fungi,,,,,,
denovo363,k__Fungi,,,,,,
denovo364,k__Fungi,,,,,,
denovo365,k__Fungi,,,,,,
denovo366,k__Fungi,,,,,,
denovo367,k__Fungi,,,,,,
denovo368,k__Fungi, p__Ascomycota,,,,,
denovo369,k__Fungi, p__Ascomycota, c__Incertae sedis, o__Incertae sedis, f__Incertae sedis, g__Vermispora, s__Vermispora sp AS60291
denovo370,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo371,k__Fungi, p__Ascomycota,,,,,
denovo372,k__Fungi,,,,,,
denovo373,k__Fungi,,,,,,
denovo374,k__Fungi,,,,,,
denovo375,k__Fungi,,,,,,
denovo376,k__Fungi,,,,,,
denovo377,k__Fungi,,,,,,
denovo378,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales,,,
denovo379,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Strophariaceae, g__Agrocybe,
denovo380,k__Fungi,,,,,,
denovo381,k__Fungi,,,,,,
denovo382,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Entolomataceae, g__Entoloma,
denovo383,k__Fungi,,,,,,
denovo384,k__Fungi,,,,,,
denovo385,k__Fungi,,,,,,
denovo386,k__Fungi,,,,,,
denovo387,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales, f__Hyaloscyphaceae, g__Hyaloscypha, s__Hyaloscypha aureliella
denovo388,k__Fungi,,,,,,
denovo389,k__Fungi,,,,,,
denovo390,k__Fungi,,,,,,
denovo391,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo392,k__Fungi,,,,,,
denovo393,k__Fungi,,,,,,
denovo394,k__Fungi,,,,,,
denovo395,k__Fungi,,,,,,
denovo396,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo397,k__Fungi, p__Ascomycota,,,,,
denovo398,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Lasiosphaeriaceae, g__Zopfiella, s__Zopfiella sp
denovo399,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo400,k__Fungi,,,,,,
denovo401,k__Fungi, p__Zygomycota, c__Incertae sedis, o__Mucorales, f__Mucoraceae, g__Mucor, s__Mucor strictus
denovo402,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales, f__Incertae sedis, g__Spirosphaera, s__Spirosphaera cupreorufescens
denovo403,k__Fungi,,,,,,
denovo404,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales,,,
denovo405,k__Fungi,,,,,,
denovo406,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales,,,
denovo407,k__Fungi,,,,,,
